Country,Score
Belgium,1783.38
France,1757.3
Brazil,1742.65
England,1686.78
Portugal,1666.12
Spain,1648.13
Italy,1642.06
Argentina,1641.95
Uruguay,1639.08
Denmark,1631.55
Mexico,1629.56
Germany,1609.12
Switzerland,1606.21
Croatia,1605.75
Colombia,1600.66
Netherlands,1598.04
Wales,1570.36
Sweden,1569.81
Chile,1569.52
United States,1555.42
Poland,1549.87
Senegal,1542.45
Austria,1523.42
Ukraine,1514.64
Serbia,1512.9
Tunisia,1512.88
Peru,1511.88
Japan,1509.34
Turkey,1505.05
Venezuela,1500.71
Iran,1499.52
Nigeria,1487.16
Algeria,1486.69
Morocco,1479.32
Paraguay,1476.02
Slovakia,1475.24
Hungary,1468.75
Russia,1462.65
South Korea,1460.25
Czech Republic,1458.81
Australia,1457.49
Norway,1452.34
Romania,1449.23
Scotland,1441.43
Jamaica,1432.65
Egypt,1432.63
Republic of Ireland,1427.22
Northern Ireland,1425.74
Ghana,1425.26
Costa Rica,1423.4
Greece,1418.7
Iceland,1415.99
Ecuador,1413.01
Finland,1410.82
Cameroon,1404.87
Bosnia and Herzegovina,1404.87
Mali,1400.94
Qatar,1397.92
Ivory Coast,1397.77
Burkina Faso,1392.9
DR Congo,1376.65
North Macedonia,1374.73
Slovenia,1369.88
Montenegro,1368.49
Saudi Arabia,1364.39
Albania,1362.09
Honduras,1361.21
Iraq,1352.82
El Salvador,1341.24
Canada,1340.56
Bulgaria,1339.03
Guinea,1331.79
United Arab Emirates,1330.16
Cape Verde,1330.16
South Africa,1325.64
Cura�ao,1323.06
China PR,1322.96
Panama,1321.97
Syria,1304.12
Oman,1301.51
Bolivia,1300.11
Benin,1293.1
Haiti,1290.62
Uganda,1286.76
Israel,1283.36
Uzbekistan,1280.99
Zambia,1280.15
Gabon,1278.1
Belarus,1276.79
Armenia,1273.28
Georgia,1259.51
Vietnam,1258.06
Lebanon,1256.08
Congo,1255.88
Jordan,1251.63
Luxembourg,1244.86
Cyprus,1240.78
Bahrain,1240.1
Kyrgyzstan,1240.08
Madagascar,1238.24
Mauritania,1224.76
Kenya,1205.26
Trinidad and Tobago,1201.33
Palestine,1196.8
India,1184.36
Thailand,1178.07
Zimbabwe,1175.5
Guinea-Bissau,1171.19
Korea DPR,1169.96
Azerbaijan,1168.53
Namibia,1168.44
Niger,1165.91
Faroe Islands,1165.45
Sierra Leone,1162.61
Malawi,1162.39
Estonia,1161.58
Mozambique,1161.55
Central African Republic,1157.64
Libya,1156.26
Kosovo,1151.73
Tajikistan,1151.1
New Zealand,1149.43
Sudan,1149.14
Kazakhstan,1147.35
Philippines,1135.94
Angola,1135.88
Guatemala,1129.3
Antigua and Barbuda,1129.02
Rwanda,1123.69
Turkmenistan,1106.51
Comoros,1106.44
Equatorial Guinea,1105.2
Togo,1104.14
Lithuania,1102.84
Saint Kitts and Nevis,1091.12
Suriname,1089.43
Tanzania,1088.05
Latvia,1081.66
Burma,1081.26
Ethiopia,1079.41
Chinese Taipei,1078.48
Burundi,1075.64
Solomon Islands,1072.78
Hong Kong,1072
Yemen,1070.54
Lesotho,1069.91
Nicaragua,1060.51
Kuwait,1056.3
Afghanistan,1052.24
Botswana,1051.82
Liberia,1047.29
Gambia,1043.45
Malaysia,1040.02
Eswatini,1039.24
Maldives,1038.31
Dominican Republic,1036.22
New Caledonia,1035.12
Andorra,1034.9
Singapore,1020.27
Grenada,1017.57
Tahiti,1014.27
Barbados,1010.95
Fiji,996.27
Vanuatu,995.62
Guyana,990.65
Papua New Guinea,990.55
Saint Vincent and the Grenadines,989.32
Bermuda,987.78
South Sudan,984.19
Belize,977.95
Nepal,967.88
Mauritius,964.94
Indonesia,964.07
Cambodia,963.79
Malta,955.89
Saint Lucia,953.45
Moldova,948.16
Puerto Rico,938.86
Chad,935
Montserrat,933.64
Cuba,923.03
Macau,922.1
Djibouti,918.91
Bangladesh,917.38
Laos,912.07
Liechtenstein,911.05
Bhutan,910.96
Dominica,904.26
Brunei Darussalam,903.9
S�o Tom� and Pr�ncipe,903.31
American Samoa,900.27
Mongolia,896.97
Samoa,894.26
Cayman Islands,884.44
Gibraltar,880.16
Timor-Leste,879.43
Somalia,879.13
Guam,872.83
Pakistan,866.81
Seychelles,865.69
Bahamas,861.84
Tonga,861.81
Eritrea,855.56
Sri Lanka,853.07
Aruba,850.1
Turks and Caicos Islands,843.65
U.S. Virgin Islands,829.13
British Virgin Islands,826.27
Anguilla,805.42
San Marino,804.71